date,country,sector,sector_label,ticker,tariff_sensitivity,open,high,low,close,volume,daily_return_pct,weekly_return_pct,indexed_to_100,volatility_10d
2018-01-02,USA,Technology,Technology (USA),XLK,High,29.62836789701154,29.8729248046875,29.554541057159053,29.8729248046875,27445600,,,100.0,
2018-01-03,USA,Technology,Technology (USA),XLK,High,29.928295705049052,30.1405526969485,29.895995804551855,30.122095108032227,22663600,0.8341007951977675,,100.83410079519777,
2018-01-04,USA,Technology,Technology (USA),XLK,High,30.242072195505607,30.352814225128704,30.17285710683155,30.274372100830078,21493200,0.5055325409859979,,101.34384998712808,
2018-01-05,USA,Technology,Technology (USA),XLK,High,30.43126272720965,30.620450441206973,30.371278182014258,30.59276580810547,19356000,1.0516938426170075,,102.40967701731374,
2018-01-08,USA,Technology,Technology (USA),XLK,High,30.578911491051834,30.76348387487157,30.56045742105273,30.708114624023438,13467800,0.3770460527874553,,102.79580866217988,
2018-01-09,USA,Technology,Technology (USA),XLK,High,30.768093610443483,30.777320643781003,30.578905982988918,30.629663467407227,21212800,-0.2554736999543339,2.533192406392648,102.53319240639264,
2018-01-10,USA,Technology,Technology (USA),XLK,High,30.463548644066186,30.532763715448294,30.375879506045305,30.523536682128906,20815600,-0.34648368040754995,1.3327146490206498,102.17793162770361,
2018-01-11,USA,Technology,Technology (USA),XLK,High,30.592749735664512,30.661961282056772,30.518919392280054,30.64811897277832,15775600,0.4081515584082318,1.2345322000517855,102.59497244799137,
2018-01-12,USA,Technology,Technology (USA),XLK,High,30.611214543757203,30.8696173158619,30.56968760134842,30.828086853027344,16308600,0.5872069356323895,0.7692048714978528,103.19741724181613,
2018-01-16,USA,Technology,Technology (USA),XLK,High,31.01727134267689,31.128013364798566,30.6296689846129,30.708114624023438,36443600,-0.38916533995726477,0.0,102.79580866217988,
2018-01-17,USA,Technology,Technology (USA),XLK,High,30.88345306570423,31.197225027661577,30.78193808971435,31.169540405273438,29376200,1.502618402007072,1.7625950687988778,104.34043739962976,0.6216271809226431
2018-01-18,USA,Technology,Technology (USA),XLK,High,31.169539585415457,31.307966214140123,31.14185144333058,31.22490882873535,29845800,0.17763631655136614,2.297807603065505,104.52578390930005,0.6084430145872546
2018-01-19,USA,Technology,Technology (USA),XLK,High,31.28489875793457,31.335656247658168,31.123395734036674,31.28489875793457,23894400,0.19212203157503716,2.0777124551162096,104.72660096886632,0.6082929570950065
2018-01-22,USA,Technology,Technology (USA),XLK,High,31.261830778611703,31.594060392220783,31.197230967123907,31.589445114135742,18004200,0.9734612170478218,2.469690268936131,105.7460738132307,0.5984103889684057
2018-01-23,USA,Technology,Technology (USA),XLK,High,31.690957667526277,31.792472655020845,31.626357861016174,31.727872848510742,20460200,0.4382088190370226,3.3208102710725607,106.20946243446565,0.599339282754063
2018-01-24,USA,Technology,Technology (USA),XLK,High,31.810932664045325,31.86630191930623,31.377188055564535,31.483318328857422,37019000,-0.7707876314966944,1.0066812647994583,105.39081303454165,0.6728099997739254
2018-01-25,USA,Technology,Technology (USA),XLK,High,31.681722046565028,31.709406664587974,31.34949254859178,31.427934646606445,25951800,-0.1759143736770996,0.6502046778892545,105.20541544587874,0.6572204544809648
2018-01-26,USA,Technology,Technology (USA),XLK,High,31.644812720072395,31.926284790039062,31.575597641807207,31.926284790039062,20097200,1.5856916753720807,2.0501457814109836,106.87364896064466,0.7748399155967074
2018-01-29,USA,Technology,Technology (USA),XLK,High,31.833994729812773,31.833994729812773,31.59405313092211,31.63558006286621,55179800,-0.9105498152530145,0.14604545462504337,105.90051114747936,0.8754572138936991
2018-01-30,USA,Technology,Technology (USA),XLK,High,31.377179554211594,31.53406376217878,31.2664375532686,31.34949493408203,29662400,-0.9043144719194984,-1.1925725882580562,104.94283749933598,0.9314209859697888
2018-01-31,USA,Technology,Technology (USA),XLK,High,31.534071833598485,31.635586827290187,31.377187585475415,31.584829330444336,30135800,0.7506800248525236,0.3224278982494333,105.73062241795692,0.841563749169345
2018-02-01,USA,Technology,Technology (USA),XLK,High,31.46945766209554,31.833987009260635,31.464845906614585,31.612503051757812,32650000,0.08761713107248159,0.5872750062221987,105.8232605559846,0.8415458700658669
2018-02-02,USA,Technology,Technology (USA),XLK,High,31.25720996806198,31.284898111245784,30.67119649030998,30.675811767578125,43929400,-2.9630405496397505,-3.916750823606896,102.68767443475986,1.2875476683533995
2018-02-05,USA,Technology,Technology (USA),XLK,High,30.348192285300573,30.924978696929877,29.379191817848316,29.393035888671875,98559600,-4.181717793242035,-7.088677273304156,98.39356568145506,1.727361118164102
2018-02-06,USA,Technology,Technology (USA),XLK,High,28.996204118819346,30.28820522023886,28.830089364597413,30.23744773864746,90269400,2.8728296497641637,-3.547257133720494,101.22024520981208,2.0480974618679504
2018-02-07,USA,Technology,Technology (USA),XLK,High,30.163627412941636,30.472784125291266,29.849855422973633,29.849855422973633,47425200,-1.2818288071927197,-5.493060891098045,99.92277494800157,2.0630089847562174
2018-02-08,USA,Technology,Technology (USA),XLK,High,29.932909597917522,29.98827884168026,28.603993181024947,28.61322021484375,55628600,-4.14285158372365,-9.487647441278103,95.78312268356768,2.3523059841588676
2018-02-09,USA,Technology,Technology (USA),XLK,High,29.074652783676918,29.526854943472006,28.133338564246564,29.31459617614746,72700400,2.4512304313789146,-4.437423210652769,98.1309877349123,2.4673963291364944
2018-02-12,USA,Technology,Technology (USA),XLK,High,29.628366857874433,30.025196229386662,29.411496342908823,29.84062385559082,35629600,1.7944223972335527,1.5227687558856395,99.89187215745406,2.6012730235520243
2018-02-13,USA,Technology,Technology (USA),XLK,High,29.669902288416253,29.98828607815609,29.582229604069003,29.914459228515625,19084000,0.24743240383351406,-1.0681738515880501,100.13903701796754,2.6094105240285077
2018-02-14,USA,Technology,Technology (USA),XLK,High,29.748333780846785,30.514304234097292,29.729876194929062,30.463546752929688,32117600,1.8355254902640894,2.055927311070782,101.97711456813734,2.685687852731122
2018-02-15,USA,Technology,Technology (USA),XLK,High,30.75425896629545,31.044958114624023,30.394344729195602,31.044958114624023,24305000,1.9085478339399886,8.498651607618623,103.92339657934203,2.7771736586148488
2018-02-16,USA,Technology,Technology (USA),XLK,High,30.952669508975536,31.331041286830864,30.920369607954658,30.998811721801758,20334200,-0.1486437593244072,5.745313820917319,103.76892093584887,2.5967102924439533
2018-02-20,USA,Technology,Technology (USA),XLK,High,30.841930200260126,31.271059554987396,30.809630292718328,31.02650260925293,33835200,0.08932886750525615,3.974041425544561,103.86161653774329,2.1141261218034924
2018-02-21,USA,Technology,Technology (USA),XLK,High,31.14647415986443,31.409488689730697,30.82347509526577,30.828086853027344,29102400,-0.6395040998478874,3.054133847222662,103.19741724181613,1.9748418433018242
2018-02-22,USA,Technology,Technology (USA),XLK,High,30.934211033890698,31.146468023153027,30.777323290264146,30.8649959564209,21958800,0.11972557223391966,1.3178019182963352,103.3209709401395,1.9056155247625566
2018-02-23,USA,Technology,Technology (USA),XLK,High,31.11878557374352,31.51099967956543,31.044955213839227,31.51099967956543,20772400,2.09299791925015,1.5011827789256138,105.48347671206568,1.1366180516834983
2018-02-26,USA,Technology,Technology (USA),XLK,High,31.64481223298322,32.00472640991211,31.64481223298322,32.00472640991211,21594400,1.5668393112480583,3.2450104769754295,107.1362332920615,1.0392356223434303
2018-02-27,USA,Technology,Technology (USA),XLK,High,32.018573539476776,32.166230750191026,31.681732177734375,31.681732177734375,25581200,-1.009207915233734,2.1118383104064,106.05500594559474,1.140389053232339
