date,currency,country,rate_vs_usd,pct_change_1d,pct_change_7d,pct_change_30d,rolling_30d_avg,rolling_7d_vol,tariff_event_nearby
2018-01-01,CNY,China,6.50570011138916,,,,,,False
2018-01-02,CNY,China,6.505799770355225,0.0015318715028023178,,,,,False
2018-01-03,CNY,China,6.49399995803833,-0.18137373933121426,,,,,False
2018-01-04,CNY,China,6.5030999183654785,0.14012874015936205,,,,,False
2018-01-05,CNY,China,6.493299961090088,-0.15069670462412033,,,,,False
2018-01-08,CNY,China,6.487500190734863,-0.08931930435954749,,,,,False
2018-01-09,CNY,China,6.497600078582764,0.15568227438860216,,,,0.007005843747129381,False
2018-01-10,CNY,China,6.529399871826172,0.4894082870416483,0.3642922365191925,,,0.013748577053165425,False
2018-01-11,CNY,China,6.507199764251709,-0.3400022668278324,0.021519166680539215,,,0.013831001509476934,False
2018-01-12,CNY,China,6.490200042724609,-0.2612448079508778,-0.05851424912648451,,,0.014253023546672378,False
2018-01-15,CNY,China,6.456200122833252,-0.5238655152004279,-0.7211913721297147,,,0.02207827654727363,False
2018-01-16,CNY,China,6.435200214385986,-0.32526730968261974,-0.8947645581176555,,,0.031506192502768454,False
2018-01-17,CNY,China,6.442299842834473,0.11032490384084159,-0.6967298122772081,,,0.0355626658069148,False
2018-01-18,CNY,China,6.43209981918335,-0.1583289182428893,-1.008068496171599,,,0.038566884728186875,False
2018-01-19,CNY,China,6.420599937438965,-0.17878891913473138,-1.6663083364930609,,,0.03221335379519628,False
2018-01-22,CNY,China,6.4029998779296875,-0.2741186132256934,-1.601301482927564,,,0.027744599872303013,False
2018-01-23,CNY,China,6.404399871826172,0.021864655992098747,-1.3219957833906504,,,0.019597727296026487,False
2018-01-24,CNY,China,6.402900218963623,-0.02341597796142736,-0.8255615200205235,,,0.016831666756106905,False
2018-01-25,CNY,China,6.36929988861084,-0.5247673585989765,-1.0240602246970543,,,0.0239035823254913,False
2018-01-26,CNY,China,6.322800159454346,-0.7300602887240659,-1.8549227185232886,,,0.03675557351828791,False
2018-01-29,CNY,China,6.315899848937988,-0.10913377526315937,-1.8065635408642478,,,0.04228605753609653,False
2018-01-30,CNY,China,6.336299896240234,0.3229951042633461,-1.312962059934164,,,0.03972107062589842,False
2018-01-31,CNY,China,6.321100234985352,-0.23988228940839962,-1.2790823755382763,,,0.03869149816502022,False
2018-02-01,CNY,China,6.2881999015808105,-0.5204842856698866,-1.8143771871044545,,,0.038006190367993915,False
2018-02-02,CNY,China,6.298399925231934,0.16220895980991745,-1.6320774986027131,,,0.026392129006873887,False
2018-02-05,CNY,China,6.307600021362305,0.14607037088125718,-0.9687072100163285,,,0.016177391901977287,False
2018-02-06,CNY,China,6.289700031280518,-0.2837844825474667,-0.5235042598070172,,,0.017578189146278938,False
2018-02-07,CNY,China,6.28249979019165,-0.11447670084516748,-0.5288250216943235,,,0.019552891189382887,False
2018-02-08,CNY,China,6.267600059509277,-0.23716245411794512,-1.084226407460942,,,0.017411125548979566,False
2018-02-09,CNY,China,6.326300144195557,0.9365639818899929,0.0822627235275375,,6.404539982477824,0.01883350809641735,False
2018-02-12,CNY,China,6.286900043487549,-0.6227984731985492,-0.020671386304604855,-3.3632055605909428,6.397246646881103,0.01891025812300908,False
2018-02-13,CNY,China,6.326499938964844,0.6298795145998071,0.4461452760460505,-2.7559998419777854,6.391269985834757,0.02258924385505659,False
2018-02-14,CNY,China,6.340000152587891,0.2133915079947979,0.513668132345968,-2.371416791584935,6.38613665898641,0.02760841037039246,False
2018-02-15,CNY,China,6.3460001945495605,0.09463788355306146,0.8951168257475883,-2.415766723378354,6.3809000015258786,0.031136217076953725,False
2018-02-16,CNY,China,6.3471999168396,0.01890517260099145,1.029846857280603,-2.2500122453292803,6.3760300000508625,0.03092765166645006,False
2018-02-19,CNY,China,6.340099811553955,-0.11186200810860969,1.1567386456747597,-2.27206743502556,6.371116654078166,0.02096072650670592,False
2018-02-20,CNY,China,6.348400115966797,0.13091756690826184,0.3493348603056168,-2.296231851938013,6.366143321990966,0.021879483846334574,False
2018-02-21,CNY,China,6.346199989318848,-0.03465639543442922,0.9432302950756588,-2.805769076846043,6.3600366592407225,0.007631963632259004,False
2018-02-22,CNY,China,6.34660005569458,0.006304030386772297,0.3177130628886804,-2.4680310175723807,6.354683335622152,0.0034248018157950456,False
2018-02-23,CNY,China,6.350200176239014,0.05672518376518276,0.1608836499311428,-2.157096323133101,6.350016673405965,0.0031361466414788386,False
2018-02-26,CNY,China,6.327300071716309,-0.3606201991614655,-0.2946757368414987,-1.9965312206025043,6.345720005035401,0.007886387436720477,False
2018-02-27,CNY,China,6.3140997886657715,-0.20862426154788505,-0.5214918169823335,-1.8818439471314785,6.34168332417806,0.013425869457921092,False
2018-02-28,CNY,China,6.316699981689453,0.0411807401008879,-0.36907667954783063,-1.9496121603951644,6.337496662139893,0.01580461341072727,False
2018-03-01,CNY,China,6.330900192260742,0.22480425874984444,-0.27565880200337567,-1.5733528671427854,6.3341233412424724,0.01480265362346203,False
2018-03-02,CNY,China,6.357399940490723,0.4185778866388601,0.1764827958577575,-0.9843316444576922,6.332016674677531,0.01690516713928652,False
2018-03-05,CNY,China,6.350299835205078,-0.11168253298684538,0.05829545706410588,-0.8230523774685583,6.330260006586711,0.017388591879039173,True
2018-03-06,CNY,China,6.348899841308594,-0.022046106999906723,-0.020477069924274005,-0.8665922120467573,6.328410005569458,0.017208541163883945,True
